,fit,vac,mse,rmse,mae,depth,ests,group
4711,RF,0.9509988803533923,0.006006720000000002,0.07750303219874692,0.04604285714285716,50,50,cocaine
4712,RF,0.9999996940557966,6.800000000000655e-08,0.0002607680962081185,8.000000000029876e-05,50,50,cocaine
4713,RF,0.9870895884840315,0.0017703211428571465,0.042075184406692105,0.024128571428571638,50,50,cocaine
4714,RF,0.9767242044212867,0.0015702345714285724,0.03962618542616198,0.029187142857142908,50,50,cocaine
4715,RF,0.9137198196151232,0.011219530857142855,0.10592228687647777,0.06137714285714281,50,50,cocaine
4716,RF,0.9794812625770678,0.0029915811428571407,0.05469534845722386,0.03965142857142857,50,50,cocaine
4717,RF,0.9478203935949273,0.011081978285714283,0.10527097551421419,0.05521714285714308,50,50,cocaine
4718,RF,0.987758647128714,0.0026327774285714294,0.051310597624383884,0.01740428571428599,50,50,cocaine
4719,RF,0.9331512184707762,0.010441674285714285,0.10218451098730319,0.0631885714285715,50,50,cocaine
4720,RF,0.9681851548136957,0.0029944879365079364,0.05472191459102958,0.040553968253968224,50,50,cocaine
4721,RF,0.9577003972642125,0.0051259562857142865,0.07159578399399148,0.04380142857142858,50,50,cocaine
4722,RF,0.9641698033002509,0.004313798285714292,0.06567951191744875,0.04435714285714294,50,50,cocaine
4723,RF,0.9657905324718382,0.004873892612612619,0.06981326960265233,0.04682162162162176,50,50,control
4724,RF,0.9436739805879618,0.007438575769230776,0.08624717832619672,0.06339423076923081,50,50,control
4725,RF,0.9569244568048094,0.004128076036036042,0.06425010533871553,0.047976576576576634,50,50,control
4726,RF,0.8912814858975382,0.02077163171171172,0.1441236681177374,0.11135855855855858,50,50,control
4727,RF,0.9548036344934854,0.005280980900900903,0.07267035778707094,0.0500540540540541,50,50,control
4728,RF,0.9643038955382883,0.0042946947747747755,0.06553392079507205,0.044187387387387415,50,50,control
4729,RF,0.9465942450371423,0.006443858378378385,0.08027364684862888,0.05517657657657664,50,50,control
4730,RF,0.9729763381795735,0.003809709909909913,0.061722847551858084,0.04037657657657659,50,50,control
4731,RF,0.9418798500346338,0.008244231711711715,0.09079775168863882,0.06432612612612622,50,50,control
4732,RF,0.9770797573296738,0.003374539459459463,0.05809078635600884,0.028340540540540814,50,50,control
4733,RF,0.9883640839688561,0.0021526922522522515,0.046397114697492255,0.02118018018018044,50,50,control
4734,RF,0.9754672410603051,0.002389063423423426,0.04887804643624197,0.03497837837837849,50,50,control
4735,RF,0.9496481329179001,0.005782920720720725,0.07604551742687221,0.047540540540540785,50,50,control
4736,RF,0.9264529206190157,0.008561783783783788,0.09252990750986292,0.06627027027027031,50,50,control
4737,RF,0.9692157004492434,0.0054844284684684745,0.0740569272145994,0.041850450450450744,50,50,control
4738,RF,0.9762301201609713,0.00326323351351352,0.057124718935969564,0.03735675675675697,50,50,control
4739,RF,0.9770008424069037,0.002940192072072075,0.054223537989254035,0.03750450450450463,50,50,control
4740,RF,0.973825131900953,0.0009576691891891939,0.030946230613585136,0.019200000000000106,50,50,control
4741,RF,0.9631550708179578,0.006688094774774774,0.08178077264721074,0.0458180180180182,50,50,control
